book,windows,median_x,mean_x,P(double)_%,P(profit)_%,P(-50%)_%,P(ruin)_%,best_x,worst_x
Conservative 2%,255,1.0,1.04,0.0,49.8,0.0,0.0,1.77,0.771
Aggressive 8%,255,0.91,1.12,9.8,45.1,11.8,0.0,4.37,0.31
Degen 20%,255,0.68,1.04,11.8,30.2,33.3,1.2,7.18,0.074
Max Leverage 100x,255,0.05,0.06,0.0,0.4,97.6,94.5,1.09,0.003
