time,book,symbol,module,side,entry,exit,qty,notional,leverage,margin,pnl,fees,funding,bars,reason,cash_after
2026-08-19 21:33:22+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,long,83.919925,,20.139774748303335,1690.13,75.0,22.535,,0.8451,0.0,0,OPEN donchian break er=0.82 ext=0.75atr,0.8451
2026-08-19 21:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,long,83.919925,83.690215,20.139774748303335,1690.13,75.0,22.535,-5.4691,1.6878,0.0,1,stop,17.911
2026-08-20 09:17:48+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,long,87.756669,,14.239464933476862,1249.61,75.0,16.6614,,0.6248,0.0,0,OPEN donchian break er=0.62 ext=0.18atr,0.6248
2026-08-20 09:00:00+00:00,D_max_leverage,SOL-USDT-SWAP,breakout,long,87.756669,87.490157,14.239464933476862,1249.61,75.0,16.6614,-4.4179,1.2477,0.0,1,stop,12.8683
2026-08-21 01:50:22+00:00,D_max_leverage,BTC-USDT-SWAP,breakout,long,73838.074906,,0.015843441668976648,1169.85,100.0,11.6985,,0.5849,0.0,0,OPEN donchian break er=0.69 ext=0.40atr,0.5849
2026-08-27 17:00:00+00:00,A_conservative,BTC-USDT-SWAP,breakout,long,64358.777295,80391.503382,0.0014850380341334278,95.58,26.7,3.5854,23.7495,0.1075,0.2387,240,time stop,83.0878
2026-08-27 17:00:00+00:00,B_aggressive,BTC-USDT-SWAP,breakout,long,64358.961648,80391.272867,0.005940135121200364,382.3,26.7,14.3416,94.9953,0.4299,0.9547,240,time stop,114.1605
2026-08-27 17:00:00+00:00,C_degen,BTC-USDT-SWAP,breakout,long,64359.330356,80390.811837,0.014850252727065269,955.75,26.7,33.7314,237.4746,1.0748,2.3867,240,time stop,271.206
2026-08-27 17:00:00+00:00,E_optimal,BTC-USDT-SWAP,breakout,long,64359.084551,80391.11919,0.00891018566654843,573.45,26.7,20.2404,142.4903,0.6449,1.432,240,time stop,162.7306
2026-08-29 15:00:00+00:00,A_conservative,ZEC-USDT-SWAP,breakout,long,552.502116,834.339378,0.053032813371377045,29.3,6.5,4.4736,14.9245,0.0368,0.1198,240,time stop,102.4554
